Game,Date,TEAM,OPP,Win,Points,WL (H),WL HOME (H),WL LAST 5 (H),WL LAST 8 (H),WL LAST 10 (H),PD (H),PD HOME (H),PD LAST 5 (H),PD LAST 8 (H),PD LAST 10 (H),WL (A),WL AWAY (A),WL LAST 5 (A),WL LAST 8 (A),WL LAST 10 (A),PD (A),PD AWAY (A),PD LAST 5 (A),PD LAST 8 (A),PD LAST 10 (A),Prev WL (H),Prev WL (A),Prev WL HOME (H),Prev WL AWAY (A),AST,TRB,FG%,3P%
76,2011-04-01,27,23,1,7,0.5733333333333334,0.7222222222222222,0.6,0.625,0.6,1.6533333333333333,6.0,6.4,9.75,7.2,0.6756756756756757,0.6111111111111112,1.0,0.875,0.9,3.7837837837837838,1.0555555555555556,9.6,9.25,12.1,0.6097560975609756,0.6097560975609756,0.6341463414634146,0.5609756097560976,0.6342342342342349,-3.0990990990990994,-0.015327387387387092,-0.008009189189188914
77,2011-04-03,27,7,1,8,0.5789473684210527,0.7297297297297297,0.6,0.625,0.7,1.7236842105263157,6.027027027027027,0.8,5.5,8.8,0.6973684210526315,0.6923076923076923,0.6,0.625,0.6,3.789473684210526,2.358974358974359,-0.8,3.25,2.9,0.6097560975609756,0.6707317073170732,0.6341463414634146,0.6585365853658537,-2.657894736842106,-1.9868421052631575,-0.02352631578947373,-0.022210526315789514
78,2011-04-05,27,10,0,-21,0.5844155844155844,0.7368421052631579,0.6,0.625,0.7,1.8051948051948052,6.078947368421052,2.0,5.375,9.3,0.42857142857142855,0.23076923076923078,0.6,0.375,0.3,-2.857142857142857,-7.717948717948718,7.0,-3.375,-4.4,0.6097560975609756,0.3170731707317073,0.6341463414634146,0.1951219512195122,-1.350649350649352,-1.1688311688311686,-0.011688311688311581,-0.039129870129870015
80,2011-04-08,27,14,1,7,0.5822784810126582,0.717948717948718,0.6,0.625,0.6,1.6329113924050633,5.384615384615385,0.2,0.25,3.3,0.7051282051282052,0.6666666666666666,0.4,0.625,0.7,6.4743589743589745,3.717948717948718,5.0,6.625,6.5,0.6097560975609756,0.6951219512195121,0.6341463414634146,0.5609756097560976,-0.8218111002921127,-4.771989613761768,-0.013635832521908364,-0.006237747484582834
81,2011-04-12,27,15,1,13,0.5875,0.725,0.8,0.625,0.7,1.7,5.425,2.4,0.875,4.4,0.575,0.41025641025641024,0.8,0.75,0.8,2.65,-2.1025641025641026,11.0,9.75,9.9,0.6097560975609756,0.4878048780487805,0.6341463414634146,0.4146341463414634,0.5625,-1.7625000000000028,-0.021524999999999905,0.018012500000000042
1,2011-12-26,27,25,1,4,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5853658536585366,0.5,0.7317073170731707,0.36585365853658536,-1.5243902439024382,-2.463414634146339,-0.01336585365853643,-0.006219512195122068
2,2011-12-27,27,28,1,22,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,0.5,1.0,1.0,1.0,9.0,0.0,9.0,9.0,9.0,0.5853658536585366,0.2926829268292683,0.7317073170731707,0.3170731707317073,8.0,10.0,-0.05500000000000005,-0.026000000000000023
3,2011-12-29,27,8,1,9,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,19.5,22.0,19.5,19.5,19.5,0.5853658536585366,0.6097560975609756,0.7317073170731707,0.4146341463414634,1.0,1.0,-0.08499999999999996,-0.022499999999999964
6,2012-01-05,27,14,1,11,0.8,1.0,0.8,0.8,0.8,8.0,11.666666666666666,8.0,8.0,8.0,0.5714285714285714,0.0,0.8,0.5714285714285714,0.5714285714285714,5.0,-9.0,9.0,5.0,5.0,0.5853658536585366,0.6951219512195121,0.7317073170731707,0.6585365853658537,0.22857142857142776,1.4857142857142875,-0.009685714285714186,0.07517142857142856
8,2012-01-08,27,6,1,20,0.7142857142857143,1.0,0.6,0.7142857142857143,0.7142857142857143,3.7142857142857144,11.5,0.0,3.7142857142857144,3.7142857142857144,0.5714285714285714,0.5,0.6,0.5714285714285714,0.5714285714285714,3.857142857142857,1.25,3.8,3.857142857142857,3.857142857142857,0.5853658536585366,0.23170731707317074,0.7317073170731707,0.17073170731707318,-0.2857142857142847,2.857142857142861,-0.01157142857142851,-0.10271428571428576
